CPU,Mem,Net,Block
0.00%,14.43MiB / 3.835GiB,16.2kB / 25kB,0B / 238kB
0.00%,14.43MiB / 3.835GiB,16.2kB / 25kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.2kB / 25kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.2kB / 25kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.12%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.12%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.09%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.09%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.09%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.09%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.09%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.09%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.5kB / 25.2kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.06%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.08%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.07%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.13%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.13%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.7kB / 25.3kB,0B / 238kB
0.10%,14.43MiB / 3.835GiB,16.7kB / 25.3kB,0B / 238kB
