CPU,Mem,Net,Block
0.00%,12.05MiB / 3.835GiB,72.2kB / 33.7kB,0B / 254kB
0.00%,12.05MiB / 3.835GiB,72.2kB / 33.7kB,0B / 254kB
1.89%,12.05MiB / 3.835GiB,72.2kB / 33.7kB,0B / 254kB
1.89%,12.05MiB / 3.835GiB,72.2kB / 33.7kB,0B / 254kB
1.83%,12.05MiB / 3.835GiB,72.2kB / 33.7kB,0B / 254kB
1.83%,12.05MiB / 3.835GiB,72.2kB / 33.7kB,0B / 254kB
1.63%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.63%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.47%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.47%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.84%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.84%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.67%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.67%,12.05MiB / 3.835GiB,72.3kB / 33.8kB,0B / 254kB
1.58%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.58%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.41%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.41%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.52%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.52%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.64%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.64%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.63%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.63%,12.05MiB / 3.835GiB,72.4kB / 33.8kB,0B / 254kB
1.57%,12.05MiB / 3.835GiB,72.5kB / 33.9kB,0B / 254kB
1.57%,12.05MiB / 3.835GiB,72.5kB / 33.9kB,0B / 254kB
1.76%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.76%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.52%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.52%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.67%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.67%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.52%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.52%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.64%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.64%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.57%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.57%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.59%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.59%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.58%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.58%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.73%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.73%,12.05MiB / 3.835GiB,72.5kB / 34kB,0B / 254kB
1.65%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.65%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.57%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.57%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.53%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.53%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.59%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.59%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.44%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.44%,12.05MiB / 3.835GiB,72.6kB / 34kB,0B / 254kB
1.66%,12.05MiB / 3.835GiB,72.7kB / 34.1kB,0B / 254kB
1.66%,12.05MiB / 3.835GiB,72.7kB / 34.1kB,0B / 254kB
1.70%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.70%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.66%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.66%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.56%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.56%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.65%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.65%,12.05MiB / 3.835GiB,72.7kB / 34.2kB,0B / 254kB
1.78%,12.05MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
1.78%,12.05MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
1.59%,12.05MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
1.59%,12.05MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
7.12%,40.04MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
7.12%,40.04MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
51.06%,66.72MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
51.06%,66.72MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
63.09%,66.73MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
63.09%,66.73MiB / 3.835GiB,72.8kB / 34.2kB,0B / 254kB
51.97%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
51.97%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
51.63%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
51.63%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
51.63%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
55.87%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
55.87%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
2.07%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
2.07%,66.73MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
2.35%,67.4MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
2.35%,67.4MiB / 3.835GiB,72.9kB / 34.3kB,0B / 254kB
3.39%,67.44MiB / 3.835GiB,85kB / 42.5kB,0B / 254kB
3.39%,67.44MiB / 3.835GiB,85kB / 42.5kB,0B / 254kB
3.48%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
3.48%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
1.58%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
1.58%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
1.66%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
1.66%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
1.74%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
1.74%,68.19MiB / 3.835GiB,92.5kB / 46.6kB,0B / 303kB
1.63%,68.19MiB / 3.835GiB,92.6kB / 46.6kB,0B / 303kB
1.63%,68.19MiB / 3.835GiB,92.6kB / 46.6kB,0B / 303kB
1.63%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.63%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.62%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.62%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.63%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.63%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.82%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.82%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.90%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.90%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.55%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.55%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.55%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.55%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.62%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.62%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.67%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.67%,68.19MiB / 3.835GiB,92.7kB / 46.7kB,0B / 303kB
1.55%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.55%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.58%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.58%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.62%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.62%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.67%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.67%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.82%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.82%,68.19MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.67%,68.2MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.67%,68.2MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.58%,68.2MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.58%,68.2MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.69%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.69%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.72%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.72%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.65%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.65%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.69%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.69%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.82%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.82%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.80%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.80%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.75%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.75%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.75%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.75%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.75%,68.21MiB / 3.835GiB,92.9kB / 47kB,0B / 303kB
1.79%,68.21MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.79%,68.21MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.72%,68.21MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.72%,68.21MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.63%,68.21MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.63%,68.21MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.45%,68.22MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.45%,68.22MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.44%,68.24MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.44%,68.24MiB / 3.835GiB,93.2kB / 47.2kB,0B / 303kB
1.47%,68.25MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
1.47%,68.25MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
1.47%,68.25MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
1.47%,68.25MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
1.58%,68.27MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
1.58%,68.27MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
38.74%,92.23MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
38.74%,92.23MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
57.77%,92.23MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
57.77%,92.23MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
58.76%,92.23MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
58.76%,92.23MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
53.95%,92.35MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
53.95%,92.35MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
53.44%,92.22MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
53.44%,92.22MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
54.51%,92.22MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
54.51%,92.22MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
10.39%,92.22MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
10.39%,92.22MiB / 3.835GiB,93.2kB / 47.3kB,0B / 303kB
2.34%,92.23MiB / 3.835GiB,93.5kB / 47.5kB,0B / 303kB
2.34%,92.23MiB / 3.835GiB,93.5kB / 47.5kB,0B / 303kB
4.29%,92.27MiB / 3.835GiB,111kB / 58.3kB,0B / 360kB
4.29%,92.27MiB / 3.835GiB,111kB / 58.3kB,0B / 360kB
2.41%,92.93MiB / 3.835GiB,111kB / 58.4kB,0B / 360kB
2.41%,92.93MiB / 3.835GiB,111kB / 58.4kB,0B / 360kB
1.53%,92.93MiB / 3.835GiB,111kB / 58.4kB,0B / 360kB
1.53%,92.93MiB / 3.835GiB,111kB / 58.4kB,0B / 360kB
1.71%,92.93MiB / 3.835GiB,111kB / 58.4kB,0B / 360kB
1.71%,92.93MiB / 3.835GiB,111kB / 58.4kB,0B / 360kB
1.79%,92.93MiB / 3.835GiB,111kB / 58.5kB,0B / 360kB
1.79%,92.93MiB / 3.835GiB,111kB / 58.5kB,0B / 360kB
1.48%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.48%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.63%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.63%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.59%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.59%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.68%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.68%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.57%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.57%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.72%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.72%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.54%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.54%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.52%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.52%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.58%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.58%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.62%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.62%,92.93MiB / 3.835GiB,111kB / 58.6kB,0B / 360kB
1.91%,92.93MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.91%,92.93MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.71%,92.93MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.71%,92.93MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.38%,92.93MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.38%,92.93MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.66%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.66%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.48%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.48%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.48%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.61%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.61%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.47%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.47%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.64%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.64%,92.95MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.58%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.58%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.54%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.54%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.53%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.53%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.66%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.66%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.57%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.57%,92.96MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.64%,92.97MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.64%,92.97MiB / 3.835GiB,111kB / 58.9kB,0B / 360kB
1.50%,92.97MiB / 3.835GiB,111kB / 59kB,0B / 360kB
1.50%,92.97MiB / 3.835GiB,111kB / 59kB,0B / 360kB
1.36%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.36%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.52%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.52%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.65%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.65%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.64%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.64%,92.97MiB / 3.835GiB,112kB / 59.2kB,0B / 360kB
1.53%,92.97MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
1.53%,92.97MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
1.61%,92.97MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
1.61%,92.97MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
1.61%,92.97MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
1.61%,92.97MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
37.31%,118.1MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
37.31%,118.1MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
66.67%,118.3MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
66.67%,118.3MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
58.23%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
58.23%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
58.11%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
58.11%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
38.11%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
38.11%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
1.84%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
1.84%,118.2MiB / 3.835GiB,112kB / 59.3kB,0B / 360kB
2.51%,118.9MiB / 3.835GiB,112kB / 59.4kB,0B / 360kB
2.51%,118.9MiB / 3.835GiB,112kB / 59.4kB,0B / 360kB
3.45%,119.4MiB / 3.835GiB,127kB / 70.1kB,0B / 410kB
3.45%,119.4MiB / 3.835GiB,127kB / 70.1kB,0B / 410kB
3.59%,120.8MiB / 3.835GiB,129kB / 70.9kB,0B / 410kB
3.59%,120.8MiB / 3.835GiB,129kB / 70.9kB,0B / 410kB
1.55%,120.8MiB / 3.835GiB,129kB / 70.9kB,0B / 410kB
1.55%,120.8MiB / 3.835GiB,129kB / 70.9kB,0B / 410kB
1.59%,120.8MiB / 3.835GiB,129kB / 70.9kB,0B / 410kB
1.59%,120.8MiB / 3.835GiB,129kB / 70.9kB,0B / 410kB
1.46%,120.8MiB / 3.835GiB,130kB / 71kB,0B / 410kB
1.46%,120.8MiB / 3.835GiB,130kB / 71kB,0B / 410kB
1.40%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.40%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.39%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.39%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.49%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.49%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.43%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.43%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.48%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.48%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.52%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.52%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.52%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.68%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.68%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.57%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.57%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.53%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.53%,120.8MiB / 3.835GiB,130kB / 71.1kB,0B / 410kB
1.74%,120.8MiB / 3.835GiB,130kB / 71.2kB,0B / 410kB
1.74%,120.8MiB / 3.835GiB,130kB / 71.2kB,0B / 410kB
1.54%,120.8MiB / 3.835GiB,130kB / 71.4kB,0B / 410kB
1.54%,120.8MiB / 3.835GiB,130kB / 71.4kB,0B / 410kB
1.53%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.53%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.54%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.54%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.52%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.52%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.67%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.67%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.39%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.39%,120.8MiB / 3.835GiB,130kB / 71.5kB,0B / 410kB
1.45%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.45%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.28%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.28%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.47%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.47%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.49%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.49%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.46%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.46%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.31%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.31%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.44%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.44%,120.8MiB / 3.835GiB,130kB / 71.6kB,0B / 410kB
1.41%,120.8MiB / 3.835GiB,130kB / 71.8kB,0B / 410kB
1.41%,120.8MiB / 3.835GiB,130kB / 71.8kB,0B / 410kB
1.59%,120.8MiB / 3.835GiB,130kB / 71.9kB,0B / 410kB
1.59%,120.8MiB / 3.835GiB,130kB / 71.9kB,0B / 410kB
