CPU,Mem,Net,Block
0.00%,48.84MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.00%,48.84MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
2.22%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
2.22%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.30%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.30%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.20%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.20%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.30%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.30%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.22%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.22%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.37%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.37%,48.85MiB / 3.835GiB,24.9kB / 23.1kB,0B / 1.52MB
0.35%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.35%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.42%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.42%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.77%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.77%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.27%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.27%,48.85MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
3.12%,48.86MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
3.12%,48.86MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.31%,48.86MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.31%,48.86MiB / 3.835GiB,24.9kB / 23.2kB,0B / 1.52MB
0.93%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.93%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.29%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.29%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.41%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.41%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.32%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.32%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
1.21%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
1.21%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.27%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.27%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.38%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.38%,48.86MiB / 3.835GiB,25kB / 23.3kB,0B / 1.52MB
0.40%,48.86MiB / 3.835GiB,25.1kB / 23.3kB,0B / 1.52MB
