CPU,Mem,Net,Block
0.00%,14.9MiB / 3.835GiB,16.4kB / 25kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.4kB / 25kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.4kB / 25kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.10%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.10%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.09%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.09%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.06%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.10%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.10%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.09%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.09%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.5kB / 25.1kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.08%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
0.07%,14.9MiB / 3.835GiB,16.6kB / 25.2kB,803kB / 238kB
