CPU,Mem,Net,Block
0.00%,93.54MiB / 3.835GiB,76.4kB / 40kB,0B / 254kB
0.00%,93.54MiB / 3.835GiB,76.4kB / 40kB,0B / 254kB
4.91%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
4.91%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.68%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.68%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.69%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.69%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.55%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.55%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.62%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.62%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.78%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.78%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.70%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.70%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.70%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.70%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.40%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.40%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.64%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.64%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.65%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.65%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.49%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.49%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.52%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.52%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.56%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.56%,93.61MiB / 3.835GiB,95.6kB / 48.6kB,0B / 303kB
1.67%,93.61MiB / 3.835GiB,95.7kB / 48.7kB,0B / 303kB
1.67%,93.61MiB / 3.835GiB,95.7kB / 48.7kB,0B / 303kB
1.50%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.50%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.44%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.44%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.46%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.46%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.77%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.77%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.50%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.50%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
1.74%,93.61MiB / 3.835GiB,95.9kB / 48.9kB,0B / 303kB
